start	end	text
516000	518000	No no no.
518000	529000	So conclude from if we if we take the info specifications that is currently the specs are to disclose the report based on the activity dates.
529000	540000	So even if a payment is loaded in 2026 for example when you are you have to disclose it as part of an activity of 2025.
540000	541000	Yes.
541000	546000	The debt that you will work in any way any day it's also the read the complete read down should work.
546000	554000	But again let's let's try to get an understanding of what should be on the approach to the authorities.
554000	566000	Because for us it will be considered as a republication if we are updating that we need to get a sign off in the first place from the transparency change board.
566000	574000	And if the country provisions that you know maybe after three months or four months another update to the report it will be much easier.
574000	578000	We don't have to change anything.
578000	592000	Okay then I think so basically it's not the payment is a so the problem is not when the payment happened but when you are the expense.
592000	594000	Correct.
594000	604000	Okay so basically when it is cleared is when we will hit the systems the information will hit the system then we will be able to consolidate it.
604000	615000	Because you have an automation that clear the expense when it is paid right correct.
615000	620000	Okay now I understand.
620000	626000	Okay let's try to get in touch with the authority.
626000	634000	Okay and any any 22 timeline then this could be shared across.
634000	644000	So we will reach out also today I mean tomorrow at the latest but the problem is when the answer and we cannot provide a time limit.
644000	650000	Okay then let us settle that during our next monthly correct and see if we have an answer.
650000	662000	If we don't receive any answer before we can we can share let's say a second request during our next call.
662000	664000	Okay sounds good.
664000	679000	Yes I think just to keep everybody honest here we reached out already I think a couple of three months ago to address a question that came in but we did not receive any answer back then.
679000	690000	So just to set the expectation not not sure if we will be able to get a reply when we will try to follow up more and more that for sure.
690000	702000	But yeah we didn't get much much response so far actually no responses so far so I can understand.
703000	710000	Okay let's hope for the best we get some response and some window you know when we get home now.
710000	712000	Okay thank you very much.
712000	714000	Okay thank you so much.
714000	716000	Thank you thank you.
716000	718000	Thank you bye.
