start	end	text
581640	584560	That is from the country is to go with the manual
584560	588640	disclosure, not for the standard global
588640	591520	transparency solution because very simply implemented.
591520	594600	I'm absolutely, but for me it's fine.
594600	595440	Absolutely.
595440	597960	I mean, I will never prevent you to do what you feel
597960	598920	it's best for you.
598920	601080	We are no one to say they were.
601080	602680	I mean, I feel it's a little bit ashamed
602680	605160	that the teams spend so much effort to implement.
605160	607360	I don't know exactly if we missed something
607360	611920	in the business requirements or if we did not
611920	613640	enough listen to you.
613640	616800	But obviously if you have the report really
616800	619800	in with the manual data collection
619800	621760	and you feel comfortable with the figures,
621760	624320	you should report that you have definitively.
624320	625880	I mean, I don't know.
625880	628560	I mean, actually, it's what you were asking for more.
628560	630640	That was the, that was the ask, Matthew.
630640	635760	And also there were a couple of other evolving
635760	636440	situations.
636440	640280	The other evolving situation was one of the
640280	643320	East signatories to the transparency report
643320	645320	was the country president.
645320	647960	And the country president would have
647960	650680	to record his signature on the report
650680	653080	before the report is presented.
653080	655160	And he was also traveling.
655160	658240	So he's currently out of the country.
658240	661360	So before he moved out of the country
661360	666200	or official business, we had to kind of see the report
666200	670840	and be comfortable with what was captured in the report.
670840	673560	So if, and those were the pieces.
673560	675960	And of course, all of this was in accordance
676040	682200	in line with how the association guided us.
682200	686400	And what was the directive in terms of how
686400	688080	it had to be presented.
688080	689160	So those were the things.
689160	693800	So of course, Wade in also very heavily.
693800	698640	And hence the ask and the request from our side.
698640	703200	I mean, no, no, so let's go apparently you're already
703200	704960	you're done with the reporting.
704960	707040	So let's continue what you've initiated.
707040	711840	Just first of all, and I hope let's be,
711840	713640	let's speak honestly and transparently
713640	715280	even if the team is on the phone today.
715280	718840	But do you feel that we as a global transparency team,
718840	720840	we miss something about your requirements.
720840	724080	And using that, there was a miss during the project
724080	729080	that we explaining why we are facing this situation today.
729080	730320	Matthew, I'm really sorry.
730320	732400	I don't have the historical reference
732400	734840	because I got into the role six months back.
735800	745400	And I'm just carrying the work that was already underway.
745400	750760	So I'm not really sure of what conversations have happened
750760	752160	before.
752160	752920	I'm really sorry.
752920	756200	I'm not able to throw much light on that.
756200	758200	OK, maybe satish one last question.
758200	759400	And then I ended up to you.
759400	763240	So all the nation and the Russian
763240	766320	they are, are you comfortable also?
766320	769800	And can we say that even if this one is done manually?
769800	772120	First, we would need to, if this is OK with you,
772120	774600	we would need to load the data into the global transparency
774600	778280	solution because for internal analytics purpose,
778280	780400	we need to have a full view of the total transfer
780400	784400	of values for the company because we are presenting, for example,
784400	786240	to Patrick Harper on Monday.
786240	790480	And he wants to see the entire, the entire tier of this.
790480	794920	But this one and they were so more importantly
794920	797280	because this one is just for internal analytics.
797280	799040	But more importantly, are you comfortable
799040	802320	that for the, I mean, are you OK, sorry?
802320	804800	That for the future, we will really understand
804800	810160	what, how we should address the issues
810160	813240	and moving forward, find a solution for you
813240	815720	to get the data directly from the global solution
815720	819000	because colleagues, these should save significant time
819000	819960	from you, right?
819960	822280	And so sorry that you spent so much time
822280	824640	on transparency, but I think in the future,
824640	826320	we should be able to provide you something
826320	828560	that you are mostly comfortable with.
828560	833000	And you just review and sign off if you agree with you.
833000	835600	OK, absolutely, not absolutely, Matthew.
835600	837600	And I think that's the whole idea.
837600	841800	And we would definitely going forward,
841800	845520	like to rely on the global transparency tool.
845600	849200	And we need to find some solutions to some of these challenges
849200	853640	that we have enough in our systems today.
853640	857680	And how do we really overcome that?
857680	860280	But we're really looking up to you
860280	862840	to help us find solutions.
862840	866320	But that's clearly the intent.
866320	867960	I would really want to ask, you know what,
867960	869840	what do we also want to kind of share?
869840	872520	What's our finding of the reporting?
872520	874560	And how our format looks like and what
874560	877800	does it that you want to share with them?
877800	880200	In the current UCP API report, how is it?
880200	883000	Do you want to share that data also with them?
883000	887600	So we have actually had that format ready.
887600	892680	We passed the way UCPMP asked us to report it
892680	897520	with the total amount and total aggregate level.
897520	902200	So and we got this data from the backup data
902200	909200	where we have the spin under different spin here.
909200	913560	So we are very specific data set
913560	917000	for speaker fees, render fees, and also it gives
917000	923400	a complete visibility how that total data is coming for.
923400	925880	So we have the backup data and from there,
925880	929880	we have generated the report.
929880	930760	OK.
930760	933680	So we will load your report into the global transparency
933680	936040	solution, right?
936040	938160	Afterwards, once you've published, we
938160	941920	will take your data and we will load that into the global
941920	943960	transparency search.
943960	948400	So Matthew, do you mean to say that once this posted entries
948400	953520	or posted SAP line items are reaching in the SAP IBI?
953520	954320	That's when we do it?
958560	960160	I need to discuss with the team because you
960160	961560	are absolutely right, sorry.
961560	963920	We already have access to the data, right?
963920	965840	Because we already have the interface with SAP.
965840	968200	So we don't need to reload your Excel file.
968200	969240	We have the data.
969240	973680	OK, now forget about what I said and forget about what I said.
973680	977120	No, the only question math would be on the RCF control
977120	977680	colleagues.
977680	980920	So there are like six, so now it's nine.
980920	982200	We increase to nine.
982200	989840	We have nine RCF controls that we need to execute on the countries
989840	992400	scope of transparency reporting.
992400	996040	And so we need to see how we do that without you
996040	997960	following the global process.
997960	998720	But it's manageable.
998720	1000200	We do it with the data.
